month,year,crime,count
1,2016,LARCENY,10117
1,2016,HARASSMENT,5157
1,2016,SUBD,5157
1,2016,ASSAULT,4741
1,2016,UNCLASSIFIED,3019
2,2016,LARCENY,9281
2,2016,HARASSMENT,4758
2,2016,SUBD,4758
2,2016,ASSAULT,4139
2,2016,UNCLASSIFIED,2606
3,2016,LARCENY,10376
3,2016,HARASSMENT,5535
3,2016,SUBD,5535
3,2016,ASSAULT,5020
3,2016,UNCLASSIFIED,3006
4,2016,LARCENY,10571
4,2016,HARASSMENT,5323
4,2016,SUBD,5323
4,2016,ASSAULT,4906
4,2016,UNCLASSIFIED,3017
5,2016,LARCENY,11374
5,2016,HARASSMENT,5844
5,2016,SUBD,5844
5,2016,ASSAULT,5594
5,2016,UNCLASSIFIED,3243
6,2016,LARCENY,11430
6,2016,HARASSMENT,5983
6,2016,SUBD,5983
6,2016,ASSAULT,5437
6,2016,UNCLASSIFIED,3346
7,2016,LARCENY,11457
7,2016,ASSAULT,5753
7,2016,HARASSMENT,5741
7,2016,SUBD,5741
7,2016,UNCLASSIFIED,3574
8,2016,LARCENY,12212
8,2016,HARASSMENT,5950
8,2016,SUBD,5950
8,2016,ASSAULT,5502
8,2016,UNCLASSIFIED,3429
9,2016,LARCENY,11243
9,2016,HARASSMENT,5662
9,2016,SUBD,5662
9,2016,ASSAULT,5029
9,2016,UNCLASSIFIED,3163
10,2016,LARCENY,11484
10,2016,HARASSMENT,5774
10,2016,SUBD,5774
10,2016,ASSAULT,5097
10,2016,UNCLASSIFIED,3092
11,2016,LARCENY,10726
11,2016,HARASSMENT,5210
11,2016,SUBD,5210
11,2016,ASSAULT,4607
11,2016,UNCLASSIFIED,2868
12,2016,LARCENY,11165
12,2016,HARASSMENT,4993
12,2016,SUBD,4993
12,2016,ASSAULT,4595
12,2016,UNCLASSIFIED,2827
