day,start_time
2015-09-19,1
2015-09-26,2
2015-10-01,2
2015-10-02,4
2015-10-03,1
2015-10-04,3
2015-10-08,2
2015-10-17,2
2015-10-21,2
2015-10-23,2
2015-10-24,5
2015-10-28,5
2015-10-31,2
2015-11-01,1
2015-11-04,2
2015-11-06,3
2015-11-07,1
2015-11-08,2
2015-11-10,1
2015-11-12,1
2015-11-13,3
2015-11-14,1
2015-11-15,2
2015-11-16,2
2015-11-17,1
2015-11-19,3
2015-11-20,2
2015-11-22,2
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-27,1
2015-11-28,3
2015-11-29,2
2015-11-30,1
2015-12-02,1
2015-12-03,1
2015-12-04,1
2015-12-06,2
2015-12-07,2
2015-12-08,1
2015-12-09,1
2015-12-11,3
2015-12-12,1
2015-12-13,1
2015-12-15,1
2015-12-16,1
2015-12-17,1
2015-12-18,2
2015-12-19,3
2015-12-20,3
2015-12-21,1
2015-12-22,1
2015-12-26,2
2015-12-27,2
2015-12-28,2
2015-12-29,1
2015-12-30,1
2015-12-31,1
2016-01-01,1
2016-01-02,1
2016-01-03,1
2016-01-05,1
2016-01-07,1
2016-01-09,2
2016-01-10,1
2016-01-11,1
2016-01-12,1
2016-01-13,2
2016-01-15,1
2016-01-16,1
2016-01-17,1
2016-01-18,1
2016-01-19,1
2016-01-20,1
2016-01-22,2
2016-01-23,1
2016-01-24,3
2016-01-25,1
2016-01-26,2
2016-01-27,2
2016-01-29,1
2016-01-30,3
2016-01-31,2
2016-02-02,1
2016-02-04,1
2016-02-05,2
2016-02-06,5
2016-02-07,1
2016-02-08,1
2016-02-09,1
2016-02-11,1
2016-02-12,1
2016-02-13,3
2016-02-14,1
2016-02-15,2
2016-02-16,1
2016-02-17,1
2016-02-19,2
2016-02-21,1
2016-02-22,1
2016-02-25,4
2016-02-26,1
2016-02-27,7
2016-02-28,1
2016-02-29,1
2016-03-01,1
2016-03-03,1
2016-03-04,1
2016-03-05,1
2016-03-06,1
2016-03-08,1
2016-03-09,1
2016-03-13,1
2016-03-15,1
2016-03-19,1
2016-03-20,1
2016-03-21,1
2016-03-23,1
2016-03-24,1
2016-03-25,2
2016-03-26,1
2016-03-27,1
2016-03-28,1
2016-03-30,5
2016-04-01,2
2016-04-02,2
2016-04-03,1
2016-04-04,2
2016-04-15,2
2016-04-16,1
2016-04-18,1
2016-04-19,1
2016-04-21,1
2016-04-25,1
2016-04-27,1
2016-05-01,4
2016-05-02,2
2016-05-05,1
2016-05-06,1
2016-05-15,2
2016-05-21,1
2016-05-24,1
2016-05-27,2
2016-06-13,2
2016-06-14,1
2016-06-17,1
2016-06-18,3
2016-06-19,2
2016-06-20,1
2016-06-21,3
2016-06-23,5
2016-06-24,3
2016-06-25,1
2016-06-26,1
2016-06-27,5
2016-06-30,3
2016-07-01,1
2016-07-03,1
2016-07-06,2
2016-07-08,1
2016-07-10,1
2016-07-13,1
2016-07-15,1
2016-07-16,1
2016-07-17,2
2016-07-18,1
2016-07-19,2
2016-07-20,3
2016-07-21,1
2016-07-22,1
2016-07-23,2
2016-07-26,6
2016-07-27,3
2016-07-30,6
2016-07-31,6
2016-08-01,1
2016-08-04,4
2016-08-05,3
2016-08-06,2
2016-08-08,3
2016-08-09,2
2016-08-10,2
2016-08-11,3
2016-08-13,5
2016-08-21,2
2016-08-28,1
