delay_minutes,How_Long_Delayed
30,24089
20,21529
16-30,19515
15,15514
31-45,14367
45,9340
25,8744
0-15,7803
10,6414
46-60,6242
20-30,3115
15-20,2803
35,2549
40,2436
10-15,2296
60,1772
61-90,1440
25-30,1352
20-25,1189
5,1143
25-35,479
30-40,436
5-10,385
30-45,383
30-60,333
90,262
35-40,255
30-35,252
50,203
40-45,171
120,168
35-45,148
55,97
12,93
3,88
45-1,72
130,71
45-60,69
10-20,68
8,63
7,55
6,55
2,53
15-30,44
80,40
11,35
45-50,33
15-25,30
13,28
17,26
14,26
16,24
9,24
5-7,20
115,20
24,20
4,19
160,17
23,16
40-50,15
22,12
5-6,12
8-10,10
5-8,10
20-32,10
20-35,10
21,9
75,8
60-90,8
,8
145,8
40-60,7
1-30,7
5-15,6
3-5,6
20-,6
100,5
65,5
18,5
1-15,5
1,5
4-5,5
30-50,4
140,4
3-6,4
34,4
27,4
28,4
31,4
10-12,4
50-60,3
30-,3
0,3
220,3
40-55,3
7-10,3
19,3
12-18,3
260,3
3-4,3
451,3
454,3
25-40,3
250,3
450,2
10-30,2
501,2
51,2
10-,2
42,2
1-20,2
15-,2
37,2
13-15,2
202,2
4-6,2
302,2
2530,2
2520,2
2-30,2
156,2
300,2
26,2
230,2
309,2
20-20,1
6-7,1
200,1
800,1
2-5,1
54,1
10-40,1
56,1
59,1
25-300,1
225,1
6-10,1
60-120,1
10-18,1
70,1
60-75,1
10-153,1
1015,1
25-20,1
25--,1
20-225,1
25-,1
20-15,1
7-8,1
602,1
32,1
105,1
110,1
152,1
1514,1
150,1
39,1
15-320,1
3045,1
4-55,1
215,1
15-10,1
40-5,1
30-75,1
30-70,1
401,1
41,1
445,1
190,1
135,1
30-3,1
30-1,1
2-4,1
29,1
4545,1
12-15,1
117,1
5-1,1
115-20,1
154,1
-10,1
